sequence generator,a,type,blade_mean_est,blade_std_est,gearbox_mean_est,gearbox_std_est,generator_scale_est,generator_shape_est,yaw_system_location_est,yaw_system_scale_est,pitch_system_mean_est,pitch_system_std_est,brake_system_mean_est,lubrication_scale_est,lubrication_shape_est,electrical_system_scale_est,electrical_system_shape_est,frequency_converter_mean_est
default,0.9,min_max_10% estimators,"41904.960,42090.446","596.260,729.015","10.828,11.164","1.079,1.319","70541.067,90474.855","1.128,1.604","64944.057,65046.861","331.896,408.693","84461.465,84603.028","455.064,556.382","105954.596,137572.391","62866.097,79030.222","1.289,1.840","34679.410,42254.151","1.641,2.358","39732.974,51589.647"
default,0.9,all estimators,"41949.327,42050.489","626.824,701.749","10.908,11.091","1.135,1.270","74811.061,85744.588","1.229,1.506","64968.019,65023.643","346.151,390.455","84495.326,84572.533","478.391,535.573","112392.970,129665.269","66325.444,75183.872","1.405,1.725","36291.827,40435.416","1.788,2.206","42147.364,48624.476"
